threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-08,5995,15315,5056,0.2942909037357027
1e-07,6003,15169,5202,0.2946836188699622
1.5e-07,5992,15120,5251,0.2941436355603554
2e-07,5984,15064,5307,0.2937509204260959
2.5e-07,5989,15015,5356,0.2939963673850081
3e-07,5994,14988,5383,0.29424181434392027
3.5e-07,5979,14953,5418,0.29350547346718375
4e-07,5978,14936,5435,0.2934563840754013
4.5e-07,5968,14918,5453,0.29296549015757695
5e-07,5966,14898,5473,0.29286731137401206
5.5e-07,5966,14884,5487,0.29286731137401206
6e-07,5967,14869,5502,0.2929164007657945
6.499999999999999e-07,5968,14860,5511,0.29296549015757695
7e-07,5972,14846,5525,0.2931618477247067
7.5e-07,5972,14832,5539,0.2931618477247067
8e-07,5970,14826,5545,0.29306366894114183
8.499999999999999e-07,5973,14821,5550,0.2932109371164891
9e-07,5973,14809,5562,0.2932109371164891
9.5e-07,5972,14798,5573,0.2931618477247067
1e-06,5967,14781,5590,0.2929164007657945
