threshold,missclasified,tag_correct,tag_incorrect,CER
0.0,6169,20371,0,0.30283245790584656
5e-06,5959,15281,5090,0.292523685631535
1e-05,5916,14986,5385,0.2904128417848903
1.5000000000000002e-05,5886,14858,5513,0.2889401600314172
2e-05,5880,14726,5645,0.2886456236807226
2.5e-05,5859,14619,5752,0.28761474645329144
3.0000000000000004e-05,5853,14571,5800,0.28732021010259684
3.5000000000000004e-05,5826,14518,5853,0.2859947965244711
4e-05,5809,14459,5912,0.28516027686416967
4.5e-05,5791,14407,5964,0.2842766678120858
5e-05,5762,14356,6015,0.2828530754503952
5.5e-05,5743,14323,6048,0.2819203770065289
6.000000000000001e-05,5724,14290,6081,0.2809876785626626
6.500000000000001e-05,5730,14240,6131,0.2812822149133572
7.000000000000001e-05,5720,14206,6165,0.2807913209955329
7.500000000000001e-05,5709,14173,6198,0.2802513376859261
8e-05,5694,14140,6231,0.2795149968091895
8.5e-05,5681,14097,6274,0.2788768347160179
9e-05,5661,14063,6308,0.27789504688036915
9.5e-05,5667,14023,6348,0.27818958323106374
0.0001,5663,14003,6368,0.27799322566393403
